biosample_id,Cas12g,Cas13i,Cas12e,Cas13d,Cas3HD,Cas9,Cas3d,Cas10,Cas12d,Cas12c,Cas10d,Cas13f,Cas12k,Cas12b,Cas3,Cas12a,Cas12f,Cas13b,Cas12m,Cas3-Cas2
SAMEA6957296,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957293,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6957299,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6957295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6957300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6957273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957274,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6957278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957282,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6957284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA6990754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6990769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7015122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6828266,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7025433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7025446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7109249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7198703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA104149385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7290706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7290708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7290707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7290705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7290704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7290699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7290703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7297154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7297155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7306552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7306389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7306553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7311505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7318925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7336314,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7336315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7336317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7336318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7336316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7334519,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7326067,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326076,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326070,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
SAMEA7326071,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326068,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326079,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
SAMEA7326074,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
SAMEA7326073,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326077,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
SAMEA7326078,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326072,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SAMEA7326075,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
SAMEA7375118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7339716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339739,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7339731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SAMEA7339743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAMEA7339752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
SAMEA7339753,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7339759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAMEA7339785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339790,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7339792,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7339796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7339798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA7339714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7375119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA7354396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7375120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMEA3357409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMEA3357226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA3357389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA3357303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA7487701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAMEA6543299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
